ABF	abej-'Ef
ramponěrowanjow	rampOnIroUaJow
Zgórjelcanarjowu	zgEr*jEltsanar*joUu
pśešmarowanej	ps+Es`maroUanej
korpsowyma	kOrpsoU3/*+ma
wótpókšywat	w3tp3ks`3/*+wat
pusěrowała	pu'sIrowawa
stupninam	stupJinam
šlugali	s`lugal*ji
śamnobruneju	's+amnOˌbruneju
kontrastěrujuca	kOntras'tIrujutsa
naběžyju	nabIz`3/*+ju
portugišćinach	pOrtu'gis+ts+inax
optiměrowała	Opti'mIrowawa
cezarska	tsEzarska
wobwěnkowaś	hObwINkoUas+
desensibilizěrowanych	dezEnzibil*ji'zIrowan3/*+x
wumudrowanymi	humudroUan3/*+mi
wuspokojnišćo	huspOkOYJis+ts+O
wuwajmerowanja	huwaImEroUaJa
rozbogaśenjow	rOzbOgas+EJoU
wobłoženju	hObwOz`EJu
koordinowanjoma	koor'dinowaJOma
łomam	wOmam
zalagnjone	zalagJOnE
zgnjenjoma	zgJejJOma
dłypaneje	dw3/*+panejE
wótkasane	w3tkasanE
šykownemu	s`3/*+koUnEmu
flirtujom	fl1rtujOm
zazukowanju	zazukoUaJu
zregistrěrowanjowu	zreg1st'rIrowaJowu
zboboctej	zbObOtstej
Zušowkow	zus`oUkow
kjawkajucemu	kjaUkaIutsEmu
wótpópadnjonem	w3tp3padJOnEm
zwobrywanjeju	zwObr3/*+waneju
Lonana	lOnana
studijna	studijna
pśiwijkotanego	ps+iwijkOtanEgO
zamlaskotane	zamlaskOtanE
ekuadorskego	Ekua'dOrsk*jEgO
ionizěrujuceju	ioJi'zIrujutseju
zebineje	zEbinejE
rozespominanymi	rOzEspOminan3/*+mi
góspozaŕce	gEspOzar*jtsE
góspozarce	gEspOzar*jtsE
wurožowyjoš	hurOz`oU3/*+jOs`
póšmótlonu	p3s`mEtlOnu
łakosćiš	wakOsts+is`
natłoceńskem	natwOtseJsk*jEm
skobodnjenje	skObEdJeJE
konsulatnu	kOnzu'latnu
fidibus	fidib}s
pśechwatowanymi	ps+ExwatoUan3/*+mi
załomjenił	zaUOme*^EJiw
zwugasowany	zwugasoUan3/*+
wujězdźujomy	hujIzdz+ujOm3/*+
lětńmej	l*jItnimej
kótłarjeju	k3twar*jeju
Kulmanoju	kulmanOYu
kapotajucego	kapOtaIutsEgO
legěrujucyma	l*jE'gIrujuts3/*+ma
pśegryzowanego	ps+Egr3/*+zoUanEgO
schamornjeła	sxamOrJEwa
wurozkłada	hurOskwada
kontaktowe	kOn'taktowE
alarmu	a'larmu
wuźało	huz+aUO
gjarbickami	gjarbitskami
Nimskoamerikanaŕki	'JimskOamer*jiˌkanar*jki
Nimskoamerikanarki	'JimskOamer*jiˌkanar*jki
pradawnej	pradaUnej
wuśišćo	hus+is+ts+O
zběžanjami	zbIz`aJami
Šwikale	s`wikal*jE
zaštapanu	zas`tapanu
kofeju	kOfeju
kwadraśikach	kwadras+ikax
pśeluštowała	ps+Elus`toUaUa
pśenuzkaś	ps+Enuskas+
pótocowanjach	p3tOtsoUaJax
wulěgowanego	hul*jIgoUanEgO
zagrawěrowanemu	zagraUIroUanEmu
plantažowemu	plantaz`oUEmu
wuwlekujośo	huwl*jEkujOs+O
Kusakoma	kusakOma
wuštyrjanje	hus`t3/*+r*jaJE
rampicami	rampitsami
zwurumowanego	zurumoUanEgO
nowozgótowanje	'nowOˌzgEtowaJE
zgózdźowanjam	zgEzdz+oUaJam
wopasany	hOpasan3/*+
kokoškarjowu	kOkOs`kar*joUu
Blabakoju	blabakOYu
zindustrializěruju	zindustr*jial*ji'zIruju
pótorjenjeju	p3tOr*jeJeju
zašćitajomej	zas+ts+itaIOmej
skjawlonyma	skjaUlOn3/*+ma
gownjonym	goUJOn3/*+m
pózmólonu	p3zmElOnu
pśewłoceni	ps+EwOtsEJi
pśiźergnułej	ps+iz+Ergnuwej
taljoweje	taljoUejE
rozsplittowanym	rOspl1toUan3/*+m
wujagodowjonyma	hujagOdoUjOn3/*+ma
neutralizmowu	nOYtra'l1zmowu
wuhejkaju	huhejkaIu
wótdriftowani	w3dr1ftoUaJi
wostanjomy	hOstaJOm3/*+
mokawoma	mOkaUOma
pówobetrětem	p3ObEtr*jItEm
zakjełkowaty	zakjEwkoUat3/*+
wótkałnuchmy	w3tkaUnuxm3/*+
zabricnjonej	zabr*jitsJOnej
zašrotowa	zas`rOtoUa
tšabotali	ts`abOtal*ji
garje	gar*jE
bamžowkoma	bamz`oUkOma
wuzgjarnujośo	huzgjarnujOs+O
zatšadajmej	zats`adaImej
diwiděrowański	diwi'dIrowaJski
pódychujucej	p3d3/*+xujutsej
pśimjatujmej	ps+imjatujmej
jobberzu	jObErzu
pódanjam	p3daJam
zwiwy	zwiw3/*+
iniciěrujucych	iJitsi'Irujuts3/*+x
jadušach	jadus`ax
pśedstaj	ps+EtstaI
škórcyju	s`k3rts3/*+ju
wupytujom	hup3/*+tujOm
wósymsmužkarjami	w3s3/*+msmus`kar*jami
wótduwajuceje	w3duwaIutsejE
wótswójenju	w3tsw3jEJu
šecchenami	s`EtsxEnami
gumnyškowem	gumn3/*+s`koUEm
karstatego	karstatEgO
wolontarkow	volOn'tarkow
pśikiwanjeju	ps+ikiwaneju
zjadnośijo	zjadnOs+ijO
kompozitoriskim	kOmpozi'tor*jiskim
wupśesćěrajucy	hups+Ests+IraIuts3/*+
bźezkontaktnu	bz+EskOntaktnu
pipocmej	pipOtsmej
wopukowało	hOpukoUaUO
Gercopje	g*jErtsOpe*^E
pseudowědomnostnem	'psOYdoˌwIdOmnOstnEm
wuspěšnikom	huspIs`JikOm
makabernem	ma'kabErnEm
wuselektěrowanim	huzEl*jEktIroUaJim
zamuśiś	zamus+is+
parazitarne	parazi'tarnE
zasekajo	zasEkaIO
zachopjeńkarjow	zaxOp*jejNkar*joU
wobkjawkujmej	hOpkjaUkujmej
załajałej	zaUaIawej
pótšojtymi	p3ts`OYt3/*+mi
bessarabskimi	bEsarapskimi
žałosćeni	z`aUOsts+EJi
jadnučkeje	jadnuts`kejE
zasuźowanjach	zasuz+oUaJax
zmejstrowanjoma	zmejstroUaJOma
kibušańskima	kibus`aJskima
wótměnjałej	w3tmIJaUej
rozteptowachmej	rOstEptoUaxmej
klapakach	klapakax
agresijowe	ag'rEsijowE
pśejězdźujuceju	ps+ejIzdz+ujutseju
wušejwuwiśam	'hus`ejˌwuwis+am
bomsorožojtymi	'bOmsOˌrOz`OYt3/*+mi
wotěrowat	vo'tIrowat
punšami	puns`ami
pśeramikujotej	ps+EramikujOtej
pókałanego	p3kaUanEgO
póratej	p3ratej
zakšytnu	zaks`3/*+tnu
Pjatraki	pjatraki
šyšlateju	s`3/*+s`lateju
zarzadłowu	zarzadwoUu
konjakowego	kOJakoUEgO
biskupskich	biskupskix
doniska	dOJiska
santŕmy	santr*jm3/*+
normowy	nOrmoU3/*+
senkami	sENkami
ilustrowaneju	i'l}strowaneju
wobzłośanit	hObzwOs+aJit
šumiznowyma	s`umiznoU3/*+ma
wótlodnijośo	w3tlOdJijOs+O
wobsněžychmej	hOpsJIz`3/*+xmej
kěroma	kIrOma
złomjenim	zwOme*^EJim
pśipraskajotej	ps+ipraskaIOtej
wupukanej	hupukanej
nawitaminěrował	navitaminIroUaU
nalězła	nal*jIzwa
paśerkaty	pas+Erkat3/*+
nadsajźeni	natsaIz+EJi
Mułkecach	muwk*jEtsax
zapalniwa	zapalJiwa
zwopacnjowanjami	zOpatsJoUaJami
wobsuwowatem	hOpsuwoUatEm
wolframowego	vOlframoUEgO
napłakanjoma	napwakaJOma
stwarjarjach	stwar*jar*jax
wubarwjenju	hubarwe*^EJu
póčešćone	p3ts`Es+ts+OnE
wuzbóžowała	huzb3z`oUaUa
pedikirowało	pedi'kirowawO
němješcanyma	JIme*^Es`tsan3/*+ma
pómrokotnosću	p3mrOkOtnOsts+u
mlacate	mlatsatE
gluskanja	gluskaJa
sacawkoma	satsaUkOma
dychadle	d3/*+xadl*jE
hajkachu	haIkaxu
hemisferoma	hemis'ferOma
wibratory	vi'bratOr3/*+
pśecuzbnišćo	ps+EtsuzbJis+ts+O
rozmarznjonej	rOzmarzJOnej
dozamólonymi	dOzamElOn3/*+mi
kawslecego	kaUsl*jEtsEgO
linguistikow	l*jiNgu'1stikow
roznarjenje	rOznar*jejJE
mjasecu	mjasEtsu
rozšyrjenjam	rOss`3/*+r*jejJam
Rojoju	rOYOYu
Małojamnowaŕka	maUOYamnoUar*jka
Małojamnowarka	maUOYamnoUar*jka
zatšojło	zats`OYwO
zmarznuło	zmarznuwO
zaknipsuju	zakJ1psuju
póžedašo	p3z`Edas`O
mjazyzawodowymi	mjaz3/*+zaUOdoU3/*+mi
nucyš	nuts3/*+s`
pórozćěgachmy	p3rOsts+Igaxm3/*+
synkopowu	z3/*+N'kopowu
bobceroma	bOptsErOma
wobtśichaneje	hOpts+ixanejE
nitrěrowachmej	Ji'trIrowaxmej
wuměšajśo	humIs`aIs+O
pówjelicat	p3we*^El*jitsat
drebujucej	drEbujutsej
wichoriłej	wixOr*jiwej
swětłopušćak	'swItwOˌpus+ts+ak
powlekaneju	poUl*jEkaneju
zekšywaš	zEks`3/*+was`
intregantnej	1ntrE'gantnej
palastow	pa'lastow
wokwitujuceju	hOkwitujutseju
kuplowaneje	kuploUanejE
załožćo	zaUOs+ts+O
puźeca	puz+Etsa
dwójofazowych	'dw3jOˌfazow3/*+x
žrawika	z`raUika
suweněry	suvE'nIr3/*+
głušoneje	gwus`OnejE
śišćańcu	s+is+ts+aJtsu
pśepacane	ps+EpatsanE
zasajźby	zasaIz+b3/*+
pózaběganemu	p3zabIganEmu
smogorjow	smOgOr*joU
pastyrjenjoma	past3/*+r*jejJOma
cycanja	ts3/*+tsaJa
zasejźone	zasejz+OnE
Hužkowu	hus`koUu
drummerkam	dramErkam
dowiźeł	doUiz+Ew
zwótkul	zw3tkul
kontribucijoma	kOntr*ji'butsijOma
grajośarjow	graIOs+ar*joU
bórkhamorskej	bUrkhamOrskej
słodučkima	swOduts`kima
domcyka	dOmts3/*+ka
rutych	rut3/*+x
rozbarwjonej	rOzbarwjOnej
rewanžistiske	rEvan'z`1stisk*jE
wótoconego	w3tOtsOnEgO
wuzawalowanych	huzaUaloUan3/*+x
došyndowanego	dOs`3/*+ndoUanEgO
zamykajtej	zam3/*+kaItej
wótworjonosći	w3twOr*jOnOsts+i
turbokompresoram	't}rbokOmˌprEsOram
jětśecym	jIts+Ets3/*+m
titaratej	titaratej
wobšerjonem	hOps`Er*jOnEm
wupłošona	hupwOs`Ona
pśegroźujuce	ps+EgrOz+ujutsE
zasuckowanjowu	zasutskoUaJowu
gumnami	gumnami
bimbaś	bimbas+
šćedriśo	s+ts+Edr*jis+O
Njebacami	JEbatsami
wuźěsowało	huz+IsoUaUO
pijkajtej	pijkaItej
Gatow	gatoU
rozswěśonemu	rOswIs+OnEmu
wufrezowało	hufrezoUaUO
gaśili	gas+il*ji
pśekšasneje	ps+Eks`asnejE
zmłoźowanem	zmOz+oUanEm
wobzbóžniś	hObzb3z`Jis+
dopśecytaneju	dOps+Ets3/*+taneju
zaklějaŕski	zaklejar*jski
sanitetarjoma	zaJi'tetar*jOma
šćerkanjami	s+ts+ErkaJami
rytmom	r3/*+tmOm
pśedpśimaneje	ps+Etps+imanejE
generelne	gEnE'rElnE
Bóšacow	b3s`atsoU
wujschójźowanej	hujsx3jz+oUanej
zakapslujuce	zakapslujutsE
tejznickach	tejzJitskax
volleyballnišćom	vOlejbalJis+ts+Om
pódpisašćo	p3tpisas+ts+O
pódštapanymi	p3ts`tapan3/*+mi
napólěcany	nap3l*jItsan3/*+
Lutola	lutOla
zašćěpjowanjowu	zas+ts+IpjoUaJowu
smužkami	smus`kami
wokapana	hOkapana
źewjeśk	z+Ewe*^Es+k
wumucništej	humutsJis`tej
zegnawanjam	zEgnaUaJam
pórokowanjoma	p3rOkoUaJOma
włosakowu	wOsakoUu
mórawi	mEraUi
pśeslědowanjoma	ps+Esl*jIdoUaJOma
wobwis	hObwis
zroźonym	zrOz+On3/*+m
nasypanjami	nas3/*+paJami
pódwódniś	p3dw3dJis+
granita	gra'Jita
skomunalizěrowanyma	skOmunal*ji'zIrowan3/*+ma
kałojskich	kaUOYskix
rozwózyštej	rOzw3z3/*+s`tej
wóleśeło	w3l*jEs+EwO
Bartyłownja	bart3/*+woUJa
instrumentalnemu	instrumEn'talnEmu
bisty	bi:st3/*+
rozlězł	rOzl*jIs
zakwitowanym	zakwitoUan3/*+m
woblewani	hObl*jEwaJi
schrapanem	sxrapanEm
wušurujuceju	hus`urujutseju
nasćěnowem	nasts+InoUEm
wobgnybowaś	hObgn3/*+boUas+
pśepšawujoš	ps+Eps`aUujOs`
pśedsednikow	ps+EtsEdJikoU
arměrujucyma	ar'mIrujuts3/*+ma
brjuchowatej	br*juxoUatej
pśiśěgaŕkowu	ps+is+Igar*jkoUu
pśiśěgarkowu	ps+is+Igar*jkoUu
Bóšojcaŕkowu	b3s`OYtsar*jkoUu
Bóšojcarkowu	b3s`OYtsar*jkoUu
wowiłej	hoUiwej
gniśam	gJis+am
pórywałej	p3r3/*+waUej
Pilipy	pil*jip3/*+
póchórjone	p3xEr*jOnE
kopulěrowach	kOpu'lIrowax
wurozprojowanym	hurOsprOYoUan3/*+m
łypsaś	w3/*+psas+
tšawiskami	ts`aUiskami
tujkany	tujkan3/*+
seksologam	sEksO'logam
sławjecemu	swaUe*^EtsEmu
pśeplicajmy	ps+Epl*jitsaIm3/*+
gótowosćach	gEtoUOsts+ax
sokam	sOkam
pśekjawkanyma	ps+EkjaUkan3/*+ma
wobsnuchało	hOpsnuxaUO
zrozkidowali	zrOskidoUal*ji
lubickowu	lubitskoUu
wobštrajkujomy	hOps`traIkujOm3/*+
zabrunjełej	zabruJEwej
pólěgajucy	p3l*jIgaIuts3/*+
wobraśujucych	hObras+ujuts3/*+x
zmilonych	zmilOn3/*+x
zropickowanim	zrOpitskoUaJim
cysćenjoma	ts3/*+sts+EJOma
wušepjeŕtej	hus`Epe*^Er*jtej
stocynkujuca	stOts3/*+Nkujutsa
rozglědujuce	rOzgl*jIdujutsE
wideanjabozacu	'videaˌJabOzatsu
robili	rObil*ji
pśepawkuj	ps+EpaUkuj
Jaśanoju	jas+anOYu
mawchnjoš	maUxJOs`
pśeformowanim	ps+EfOrmoUaJim
pśepacašćo	ps+Epatsas+ts+O
pśilubjowat	ps+ilubjoUat
zecynkom	zEts3/*+NkOm
amtěrowałej	am'tIrowawej
kašlani	kas`laJi
pówopytowanych	p3wOp3/*+toUan3/*+x
wósynow	w3s3/*+noU
modernistiskimi	modEr'n1stiskimi
aboněrowat	abo'nIrowat
khanatow	ka'natow
pózwigaŕskeje	p3zwigar*jskejE
fritowu	fr1toUu
zwustajaIośo	zwustaIaIOs+O
lancowu	lantsoUu
kabejam	kabejam
rozłožych	rOzwOz`3/*+x
rěznistwu	r*jIzJistwu
cympanjow	ts3/*+mpaJoU
Racoju	ratsOYu
wagabundojske	vagabundOYsk*jE
aliěrowašo	al*ji'Irowas`O
wobzłośała	hObzwOs+aUa
wósłonišćoma	w3swOJis+ts+Oma
nalapane	nalapanE
běgawow	bIgaUoU
społnomócnijomy	spoUnOmEtsJijOm3/*+
sufigujucej	zu'figujutsej
žanrowe	z`anroUE
Matyjaškom	mat3/*+jas`kOm
wótštemplowach	w3ts`tEmploUax
marinowych	ma'r*jinow3/*+x
Zebje	zEbe*^E
carnojskej	tsarnOYskej
šmótlawa	s`mEtlaUa
słyšanjeju	sw3/*+s`aJeju
muzikarjeju	muzikar*jeju
showorchestrom	SoUOrkEstrOm
infostojnicoma	'infoˌstOYJitsOma
welurow	ve'lurow
papilarna	papi'larna
Fecka	fEtska
nawuměśach	naUumIs+ax
wótzymnjenje	w3dz3/*+mJeJE
Brukom	brukOm
chamajśo	xamaIs+O
gańkotany	gaINkOtan3/*+
zeleznicce	zEl*jEzJitstsE
nadawkidawarjowu	'nadawkiˌdawar*jowu
pókisanym	p3kisan3/*+m
zduchowjajucyma	zduxoUjaIuts3/*+ma
wótegroniś	w3tEgrOJis+
knypała	kn3/*+paUa
zwušwyranjam	zwus`w3/*+raJam
zwónknjenim	zw3NkJeJim
knechtowyma	knExtoU3/*+ma
tśizubikatem	ts+izubikatEm
samostśělow	samOsts+IloU
zatłucmy	zatwutsm3/*+
serpjelam	sErpe*^Elam
pśewobuty	ps+EwObut3/*+
wukomandowachmej	hukomandoUaxmej
pódstajili	p3tstaIil*ji
póschnjonym	p3sxJOn3/*+m
jabłušku	jabwus`ku
głownem	gwoUnEm
pśiwawrjonem	ps+iwaUr*jOnEm
wobsodłowaštej	hOpsOdwoUas`tej
wěriweju	wIr*jiweju
wótsuźowachmej	w3tsuz+oUaxmej
restawratora	rEstaU'ratOra
wótsajźanjeju	w3tsaIz+aneju
pśikłokanjow	ps+ikwOkaJoU
zwóspjetowanje	zw3spe*^EtowaJE
Knikowu	kJikoUu
wuwězkowy	huwIskoU3/*+
wótpóglědowachmy	w3tp3gl*jIdoUaxm3/*+
wobjesyła	hObe*^Es3/*+wa
pastety	pas'tet3/*+
wótejgrawat	w3tejgraUat
słopnity	swOpJit3/*+
titulěrowat	titu'lIrowat
pśisłoźony	ps+iswOz+On3/*+
pórajuceju	p3raIutseju
pódkapu	p3tkapu
pórozćěgat	p3rOsts+Igat
štandami	s`tandami
Podstupimowu	pOtstupimoUu
knigłaŕnistwam	kJigwar*jJistwam
Šwabskej	s`wa:pskej
biseksualnemu	bizEksualnEmu
kjarmjeńskem	kjarm*jejJsk*jEm
kwitěrowat	kwi'tIrowat
dušajucego	dus`aIutsEgO
zakrjojski	zakr*jOYski
módrośišće	mEdrOs+is+ts+E
pśesnochtachu	ps+EsnOxtaxu
zmjeńšujucy	zm*jejJs`ujuts3/*+
ranžěrarje	ranz`Irar*jE
gańcarjow	gaJtsar*joU
zwónarjecej	zw3nar*jEtsej
póměkowanjach	p3mIkoUaJax
Bucharje	buxar*jE
pśekłośenju	ps+EkwOs+EJu
wušmekujucu	hus`mEkujutsu
kóžakoweje	k3z`akoUejE
zryśami	zr3/*+s+ami
trarawkoma	traraUkOma
Ugandarjoma	u'gandar*jOma
Skulinu	skul*jinu
Góriku	gEr*jiku
šokoladow	s`OkO'ladow
doškótowanemu	dOs`k3toUanEmu
wubušychmy	hubus`3/*+xm3/*+
wusmjerśecej	husme*^Ers+Etsej
bochanoju	bOxanOYu
twardučkeje	twarduts`kejE
Pjatraškoju	pjatras`kOYu
brylateju	br3/*+lateju
wuchwalujo	huxwalujO
wósromośtej	w3srOmEs+tej
pśesadkami	ps+Esatkami
steakami	stekami
palatalizěrujomej	palatal*ji'zIrujOmej
bójaznjej	b3jazJej
Cybla	ts3/*+bla
luštnego	lus`tnEgO
namjenich	name*^EJix
karneolowu	karnEOloUu
kanonizěrowanych	kanOJi'zIrowan3/*+x
šwarkocucu	s`warkOtsutsu
somaliskimi	zo'mal*jiskimi
wokładaj	hOkwadaI
Górana	gErana
Zagonjowu	zagOJoUu
płakaŕnicowu	pwakar*jJitsoUu
zimprowizěrujom	s1mprovi'zIrujOm
zgromaźinkami	zgrOmaz+iNkami
wósypaštej	w3s3/*+pas`tej
dudlowanemu	dudloUanEmu
aděrowanego	a'dIrowanEgO
pśitocyjotej	ps+itOts3/*+jOtej
pśiderjajuca	ps+idEr*jaIutsa
dozaštapjonyma	dOzas`tapjOn3/*+ma
protektoratow	prOtEktO'ratow
dwórnem	dw3rnEm
stajało	staIaUO
skołkujtej	skoUkujtej
Kochacom	kOxatsOm
wudymujucego	hud3/*+mujutsEgO
wudłymjonej	hudw3/*+mjOnej
gazometeram	gazo'metEram
pśeslizujucej	ps+Esl*jizujutsej
powěsći	poUIsts+i
nažwatorjenjam	naz`watOr*jejJam
wuwitani	huwitaJi
zastupjarjeju	zastupjar*jeju
wobsuźujucych	hOpsuz+ujuts3/*+x
pśidlejšeni	ps+idlejs`EJi
spopjelujoš	spOp*je*^ElujOs`
wobměkowanemu	hObmIkoUanEmu
doktorujomej	dOktOrujOmej
Barcakowu	bartsakoUu
mócnucu	mEtsnutsu
mjakaš	mjakas`
wobuzenjeju	hObuzEneju
wužytem	huz`3/*+tEm
bazary	ba'zar3/*+
suwańskich	suwaJskix
matcha	mEtSa
wobdychowanych	hObd3/*+xoUan3/*+x
pśewinjarjami	ps+EwiJar*jami
wšogomócnosćowu	s`OgOmEtsnOsts+oUu
wobrěšyło	hObr*jIs`3/*+wO
Procami	prOtsami
pśeglědowani	ps+Egl*jIdoUaJi
gnězdźecych	gJIzdz+Ets3/*+x
pjerwonarodoju	pe*^ErwOnarOdOYu
pómokujuceje	p3mOkujutsejE
zgibujotej	zgibujOtej
wobžwal	hObz`wal
wóttrjebowachmej	w3tr*jEboUaxmej
wogarnuštej	hOgarnus`tej
asbestowe	az'bEstowE
hydrologijowu	hydrolo'gijowu
pósmjerźijośo	p3sme*^Erz+ijOs+O
cewkany	tsEwkan3/*+
rozjebujomy	rOzjEbujOm3/*+
pódwobswětloneje	p3dwOpswItlOnejE
skamconych	skamtsOn3/*+x
pśemócowanego	ps+EmEtsoUanEgO
wótzgalenjach	w3dzgalejJax
zeźaržowachu	zEz+arz`oUaxu
karejow	ka'rejow
glagolice	glagOl*jitsE
Klawinow	klaUinoU
fyramy	f3/*+ram3/*+
mógajucym	mEgaIuts3/*+m
wobitkach	hObitkax
dowólenja	doU3lejJa
koproducěrujucych	koprOdutsIrujuts3/*+x
pazory	pazOr3/*+
salvadorianiskeje	salvador*ji'aJiskejE
lipowe	l*jipoUE
zlodnił	zlOdJiw
krotkocasowymi	'krOtkOˌtsasow3/*+mi
wusrěbnjoneje	husr*jIbJOnejE
sejźeńskich	sejz+ejnskix
krjakotana	kr*jakOtana
małomyslneje	'mawOˌm3/*+slnejE
rozšwyranyma	rOss`w3/*+ran3/*+ma
pólodniła	p3lOdJiwa
šwikotanim	s`wikOtaJim
zamkarjonemu	zamkar*jOnEmu
pśezabiśow	ps+Ezabis+oU
elektrizěrujucu	El*jEktr*ji'zIrujutsu
wobgótowałej	hObgEtoUaUej
šyrinach	s`3/*+r*jinax
Hobuzowu	hObuzoUu
swójźbojstwo	sw3jz+bOYstwO
kompostowymi	kOmpOstoU3/*+mi
gósćeraskeju	gEsts+Eraskeju
zašwejsowa	zas`wejsoUa
póžnjeńcoju	p3z`JejntsOYu
Suchowkom	suxoUkOm
zwupśimował	zwups+imoUaU
włoseńcami	wOsejntsami
rozdajili	rOzdaIil*ji
prowincnikowu	pro'v1ntsJikowu
pśiwlekujuca	ps+iwl*jEkujutsa
wukśiwjajucych	huks+iwjaIuts3/*+x
wócuśetosćowu	w3tsus+EtOsts+oUu
pódscynjujucem	p3tsts3/*+JujutsEm
wóttkateju	w3tkateju
zagórkujucu	zagErkujutsu
zniženja	zJiz`EJa
zamucćo	zamutsts+O
pśedwjerśanjami	ps+Edwe*^Ers+aJami
wuparkowach	huparkoUax
wótupijotej	w3tupijOtej
zipujucej	z1pujutsej
dejała	dejaUa
sćerpowałej	sts+ErpoUaUej
rozrušowanemu	rOzrus`oUanEmu
zaśamnjajuceju	zas+amJaIutseju
nacejchowanjow	natsejxoUaJow
ženjonym	z`EJOn3/*+m
frizěrowane	fr*ji'zIrowanE
pśisajźujucemu	ps+isaIz+ujutsEmu
jobbowanim	dZOboUaJim
wuwrotach	huwrOtax
rěcyckach	r*jIts3/*+tskax
zwjertuj	zwe*^Ertuj
bubonata	bubOnata
prudlonymi	prudlOn3/*+mi
Byzom	b3/*+zOm
pśišćipujmy	ps+is+ts+ipujm3/*+
dozuku	dOzuku
tłukotanym	twukOtan3/*+m
šumlawu	s`umlaUu
pjeńkowego	p*jejNkoUEgO
lumpiškach	lumpis`kax
kósmaśim	k3smas+im
znaběgowanych	znabIgoUan3/*+x
mězgaŕnjach	mIzgar*jJax
wótpropujośo	w3tprOpujOs+O
bunsenowego	bunzEnoUEgO
kajaloma	ka'jalOma
słabjenjami	swabe*^EJami
wótzamknuli	w3dzamknul*ji
zapópadat	zap3padat
pótergajmej	p3tErgaImej
chromosći	xrOmOsts+i
šćitowašćo	s+ts+itoUas+ts+O
dressoju	drEsOYu
zaknigłowańskim	zakJigwoUaJskim
wobdešćowanim	hObdEs+ts+oUaJim
ześišćujmy	zEs+is+ts+ujm3/*+
pśibytk	ps+ib3/*+tk
zebźtej	zEps+tej
antipodam	anti'pOdam
zakunkat	zakuNkat
póhajcnjenjow	p3?aItsJejJoU
sćaklecej	sts+akl*jEtsej
kantinow	kan'tinow
późaseśorjowaštej	p3z+asEs+Or*joUas`tej
wuwitego	huwitEgO
nakóńcnych	nak3Jtsn3/*+x
wobydlijomy	hOb3/*+dl*jijOm3/*+
leksiskem	l*jEksisk*jEm
wjelebocnjej	we*^El*jEbOtsJej
ześěgaśo	zEs+Igas+O
zespuchowało	zEspuxoUaUO
smysliś	sm3/*+sl*jis+
pśiglědaŕnjoma	ps+igl*jIdar*jJOma
wugněśichu	hugJIs+ixu
bonificěrowanego	bOJifi'tsIrowanEgO
wurachnowanjeju	huraxnoUaJeju
humanwědomnosć	hu'manwIdOmnOsts+
wusmjerźenim	husme*^Erz+EJim
łagojske	wagOYsk*jE
póštupcnjoneju	p3s`tuptsJOneju
pówuśěgnjenjoma	p3wus+IgJejJOma
woblutowali	hOblutoUal*ji
konjugowanje	kOJugoUaJE
zakidnjona	zakidJOna
wóttśapnuła	w3ts+apnuwa
naskubanych	naskuban3/*+x
jagnjeńskima	jagJejJskima
zezgibanyma	zEzgiban3/*+ma
rozpušćenjami	rOspus+ts+EJami
wótworjajucu	w3twOr*jaIutsu
zwisnych	zwisn3/*+x
płaskam	pwaskam
pśemysłojskeju	ps+Em3/*+swOYskeju
zwěcnjani	zwItsJaJi
gusyskubani	gus3/*+skubaJi
nascynjanja	nasts3/*+JaJa
běricowkowu	bIr*jitsoUkowu
naštapujucu	nas`tapujutsu
pśimaznjotej	ps+imazJOtej
šybalinkam	s`3/*+bal*jiNkam
donasypanjam	dOnas3/*+paJam
manufakturu	manufak'turu
rewolucerom	revo'l}tsErOm
zaplišćmy	zapl*jis+ts+m3/*+
wukrośenjach	hukrOs+EJax
golemom	gOl*jEmOm
filozofowanjami	filo'zofowaJami
cigaretowymi	tsiga'rEtow3/*+mi
syparjoma	s3/*+par*jOma
Pawolik	paUOl*jik
źewjeśadwaźasća	z+Ewe*^Es+adwaz+asts+a
słabkim	swapkim
chóšćickach	xEs+ts+itskax
šmirglowej	s`mirgloUej
wuběžyjoš	hubIz`3/*+jOs`
promplašo	prOmplas`O
zechytanemu	zEx3/*+tanEmu
wótklěwanego	w3tkl*jIwanEgO
haremoju	harEmOYu
protektaŕka	prOtEktar*jka
protektarka	prOtEktar*jka
kastagnetow	kasta'JEtow
wótwołowanym	w3twoUowan3/*+m
paralelnej	para'lelnej
wobžynanymi	hObz`3/*+nan3/*+mi
rozglědniwosćach	rOzgl*jIdJiwOsts+ax
półapjenim	p3wape*^EJim
wośěgowanem	hOs+IgoUanEm
megalitowu	mega'l*jitowu
wubijomy	hubijOm3/*+
wuronili	hurOJil*ji
pśewjertnimy	ps+Ewe*^ErtJim3/*+
rězyny	r*jIz3/*+n3/*+
namokajmy	namOkaIm3/*+
oponentoju	Opo'nEntOYu
wótgnut	w3dgnut
bjacawowu	bjatsaUoUu
simsujuceje	z1mzujutsejE
tśiśpinego	ts+is+pinEgO
wupakuju	hupakuju
nadejźeńske	nadejz+ejnsk*jE
piśowem	pis+oUEm
mokěrujoš	mOkIrujOs`
pśipokazankach	ps+ipOkazaNkax
galantny	galantn3/*+
ochajkaIucymi	OxaIkaIuts3/*+mi
sanitarnych	zaJi'tarn3/*+x
pódojštej	p3dOYs`tej
